16272 193319 
17722 193066 
18636 162366 
18703 151911 
18841 150401 
20625 124481 
21825 119758 
22040 115710 
23193 107866 
25955 99562 
27025 90002 
27825 82494 
30371 75422 
32515 74035 
34299 68747 
34887 66496 
36542 63780 
39315 60211 
40089 55807 
43760 55270 
45921 53371 
46532 50071 
47364 47545 
49186 46112 
51093 44799 
51635 43763 
54941 42417 
57593 42027 
61402 39214 
63257 38249 
64250 38068 
68472 36355 
73164 35094 
73933 30550 
94190 28307 
94588 28057 
96642 26933 
98787 26913 
102816 26142 
102918 24801 
110874 22385 
123966 22110 
137650 20302 
141143 19917 
146097 17960 
190827 17952 
190877 15841 
207510 15422 
